family,case,status,valid,expected,missing,extra,zero_byte,config_issues
wan50,step40_base_interp,complete,10,10,0,0,0,0
wan50,step40_base_stage2,complete,10,10,0,0,0,0
wan50,step40_lora_interp,complete,10,10,0,0,0,0
wan50,step40_lora_stage2,complete,10,10,0,0,0,0
wan50,step45_base_interp,complete,10,10,0,0,0,0
wan50,step45_base_stage2,complete,10,10,0,0,0,0
wan50,step45_lora_interp,complete,10,10,0,0,0,0
wan50,step45_lora_stage2,complete,10,10,0,0,0,0
wan50_step40_strength,step40_base_interp,complete,10,10,0,0,0,0
wan50_step40_strength,step40_base_stage2,complete,10,10,0,0,0,0
wan50_step40_strength,step40_lora_s0p5_interp,complete,10,10,0,0,0,0
wan50_step40_strength,step40_lora_s0p5_stage2,complete,10,10,0,0,0,0
wan50_step40_strength,step40_lora_s0p75_interp,complete,10,10,0,0,0,0
wan50_step40_strength,step40_lora_s0p75_stage2,complete,10,10,0,0,0,0
wan50_step40_strength,step40_lora_s1_interp,complete,10,10,0,0,0,0
wan50_step40_strength,step40_lora_s1_stage2,complete,10,10,0,0,0,0
wan50_quality_efficiency,full_hr50,complete,10,10,0,0,0,0
wan50_quality_efficiency,lightx2v_cr40,complete,10,10,0,0,0,0
wan50_quality_efficiency,lightx2v_cr45,complete,10,10,0,0,0,0
wan50_quality_efficiency,lightx2v_cr48,complete,10,10,0,0,0,0
wan50_quality_efficiency,talh40,complete,10,10,0,0,0,0
wan50_quality_efficiency,talh45,complete,10,10,0,0,0,0
wan50_quality_efficiency,full_lr50_stage2_0hr,complete,10,10,0,0,0,0
wan50_quality_efficiency,full_lr50_stage2_1hr,complete,10,10,0,0,0,0
wan50_quality_efficiency,full_lr50_stage2_2hr,complete,10,10,0,0,0,0
wan50_quality_efficiency,full_lr50_stage2_5hr,complete,10,10,0,0,0,0
wan50_quality_efficiency,ralu_nt40,complete,10,10,0,0,0,0
wan50_quality_efficiency,ralu_nt45,complete,10,10,0,0,0,0
wan50_quality_efficiency,ralu_nt48,complete,10,10,0,0,0,0
